meter_name,TIMESTAMP,TRENDFLAGS,STATUS,VALUE,TRENDFLAGS_TAG,STATUS_TAG
AAA069_AAA069_dba_kwh,1455656400014,0,0,55586.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455658200018,0,0,55591.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455660000009,0,0,55596.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455661800015,0,0,55601.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455663600017,0,0,55607.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455665400011,0,0,55611.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455667200006,0,0,55617.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455669000016,0,0,55622.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455670800019,0,0,55627.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455672600009,0,0,55632.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455674400007,0,0,55637.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455676200007,0,0,55642.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455678000007,0,0,55647.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455679800004,0,0,55652.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455681600014,0,0,55657.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455683400001,0,0,55662.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455685200009,0,0,55667.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455687000013,0,0,55672.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455688800016,0,0,55677.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455690600003,0,0,55682.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455692400002,0,0,55687.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455694200003,0,0,55691.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455696000014,0,0,55696.5,{ },{ok}
